,Parent,IL,Plant #,ab/ad,Stomata,Pavement,Ad.Pav,Ab.Pav,Ad.Stom,Ab.Stom,parents_only
1,Lyco,e6203  ,P1L4,ab1 ,39,90,,,,,a
2,Lyco,e6203  ,P1L4,ab2 ,34,80,,,,,a
3,Lyco,e6203  ,P1L4,ab3 ,28,59,,,,,a
4,Lyco,e6203  ,P1L4,ad1 ,9,64,,,,,a
5,Lyco,e6203  ,P1L4,ad2 ,10,62,,,,,a
6,Lyco,e6203  ,P1L4,ad3 ,11,71,,,,,a
7,Lyco,e6203  ,P2L4,ab1 ,29,46,,,,,a
8,Lyco,e6203  ,P2L4,ab2 ,24,45,,,,,a
9,Lyco,e6203  ,P2L4,ab3 ,26,50,,,,,a
10,Lyco,e6203  ,P2L4,ad1 ,6,54,,,,,a
11,Lyco,e6203  ,P2L4,ad2 ,8,59,,,,,a
12,Lyco,e6203  ,P2L4,ad3,6,52,,,,,a
13,Lyco,e6203  ,P3L4,ab1 ,24,41,,,,,a
14,Lyco,e6203  ,P3L4,ab2 ,31,54,,,,,a
15,Lyco,e6203  ,P3L4,ab3 ,26,50,,,,,a
16,Lyco,e6203  ,P3L4,ad1 ,9,51,,,,,a
17,Lyco,e6203  ,P3L4,ad2 ,10,47,,,,,a
18,Lyco,e6203  ,P3L4,ad3,9,51,,,,,a
19,Lyco,e6203  ,P4L4,ab1 ,27,66,,,,,a
20,Lyco,e6203  ,P4L4,ab2 ,30,73,,,,,a
21,Lyco,e6203  ,P4L4,ab3 ,36,76,,,,,a
22,Lyco,e6203  ,P4L4,ad1 ,13,81,,,,,a
23,Lyco,e6203  ,P4L4,ad2 ,13,80,,,,,a
24,Lyco,e6203  ,P4L4,ad3 ,15,94,,,,,a
25,Lyco,e6203  ,P5L4,ab1 ,38,94,,,,,a
26,Lyco,e6203  ,P5L4,ab2 ,42,92,,,,,a
27,Lyco,e6203  ,P5L4,ab3 ,35,87,,,,,a
28,Lyco,e6203  ,P5L4,ad1 ,11,72,,,,,a
29,Lyco,e6203  ,P5L4,ad2 ,12,82,,,,,a
30,Lyco,e6203  ,P5L4,ad3 ,19,98,,,,,a
