Parent,Geno,Plant_num,ab/ad,Stomata,Pavement
IL,old,P1L4,ab1 ,45,115
IL,old,P1L4,ab2 ,45,128
IL,old,P1L4,ab3 ,39,135
IL,old,P1L4,ad1 ,9,78
IL,old,P1L4,ad2 ,12,72
IL,old,P1L4,ad3 ,9,69
IL,old,P2L4,ab1 ,28,128
IL,old,P2L4,ab2 ,31,84
IL,old,P2L4,ab3 ,31,79
IL,old,P2L4,ad1 ,4,90
IL,old,P2L4,ad2 ,4,79
IL,old,P2L4,ad3 ,9,95
IL,old,P3L4,ab1 ,28,69
IL,old,P3L4,ab2 ,33,80
IL,old,P3L4,ab3 ,28,76
IL,old,P3L4,ad1 ,7,68
IL,old,P3L4,ad2 ,13,84
IL,old,P3L4,ad3 ,12,68
IL,old,P4L4,ab1 ,35,97
IL,old,P4L4,ab2 ,32,89
IL,old,P4L4,ab3 ,28,85
IL,old,P4L4,ad1 ,10,84
IL,old,P4L4,ad2 ,11,89
IL,old,P4L4,ad3 ,15,94
IL,LA3921_,P1L4,ab1 ,16,45
IL,LA3921_,P1L4,ab2 ,12,43
IL,LA3921_,P1L4,ab3 ,9,47
IL,LA3921_,P1L4,ad1 ,4,47
IL,LA3921_,P1L4,ad2 ,4,47
IL,LA3921_,P1L4,ad3 ,3,45
IL,LA3921_,P2L4,ab1 ,11,29
IL,LA3921_,P2L4,ab2 ,9,27
IL,LA3921_,P2L4,ab3 ,14,28
IL,LA3921_,P2L4,ad1 ,5,27
IL,LA3921_,P2L4,ad2 ,6,27
IL,LA3921_,P2L4,ad3 ,5,25
IL,LA3921_,P3L4,ab1 ,10,31
IL,LA3921_,P3L4,ab2 ,12,29
IL,LA3921_,P3L4,ab3 ,12,40
IL,LA3921_,P3L4,ad1 ,5,37
IL,LA3921_,P3L4,ad2 ,2,28
IL,LA3921_,P3L4,ad3 ,6,40
IL,LA3921_,P4L4,ab1 ,11,37
IL,LA3921_,P4L4,ab2 ,16,35
IL,LA3921_,P4L4,ab3 ,13,34
IL,LA3921_,P4L4,ad1 ,7,37
IL,LA3921_,P4L4,ad2 ,6,29
IL,LA3921_,P4L4,ad3 ,7,40
IL,LA3921_,P5L4,ab1 ,17,42
IL,LA3921_,P5L4,ab2 ,20,51
IL,LA3921_,P5L4,ab3 ,18,41
IL,LA3921_,P5L4,ad1 ,3,51
IL,LA3921_,P5L4,ad2 ,6,47
IL,LA3921_,P5L4,ad3 ,6,42
IL,LA3921_,P6L4,ab1 ,11,22
IL,LA3921_,P6L4,ab2 ,11,26
IL,LA3921_,P6L4,ab3 ,10,20
IL,LA3921_,P6L4,ad1 ,4,24
IL,LA3921_,P6L4,ad2 ,3,24
IL,LA3921_,P6L4,ad3 ,4,30
IL,newest,P7L4,ab1 ,57,127
IL,newest,P7L4,ab2 ,50,149
IL,newest,P7L4,ab3 ,45,129
IL,newest,P7L4,ad1 ,18,168
IL,newest,P7L4,ad2 ,14,160
IL,newest,P7L4,ad3 ,13,162
IL,newest,P8L4,ab1 ,41,147
IL,newest,P8L4,ab2 ,39,136
IL,newest,P8L4,ab3 ,37,142
IL,newest,P8L4,ad1 ,11,153
IL,newest,P8L4,ad2 ,9,155
IL,newest,P8L4,ad3 ,12,127
IL,newest,P9L4,ab1 ,42,149
IL,newest,P9L4,ab2 ,57,173
IL,newest,P9L4,ab3 ,55,161
IL,newest,P9L4,ad1 ,13,138
IL,newest,P9L4,ad2 ,9,139
IL,newest,P9L4,ad3 ,15,170
IL,newest,P10L4,ab1 ,54,159
IL,newest,P10L4,ab2 ,43,148
IL,newest,P10L4,ab3 ,32,157
IL,newest,P10L4,ad1 ,5,160
IL,newest,P10L4,ad2 ,4,179
IL,newest,P10L4,ad3 ,6,137
IL,newest,P11L4,ab1 ,26,112
IL,newest,P11L4,ab2 ,31,105
IL,newest,P11L4,ab3 ,35,99
IL,newest,P11L4,ad1 ,4,96
IL,newest,P11L4,ad2 ,5,92
IL,newest,P11L4,ad3 ,6,113
IL,newest,P12L4,ab1 ,27,113
IL,newest,P12L4,ab2 ,34,109
IL,newest,P12L4,ab3 ,35,134
IL,newest,P12L4,ad1 ,10,111
IL,newest,P12L4,ad2 ,8,132
IL,newest,P12L4,ad3 ,8,137
