Parent,Geno,Plant_num,ab/ad,Stomata,Pavement
IL,old,P1L4,ab1 ,45,115
IL,old,P1L4,ab2 ,45,128
IL,old,P1L4,ab3 ,39,135
IL,old,P1L4,ad1 ,9,78
IL,old,P1L4,ad2 ,12,72
IL,old,P1L4,ad3 ,9,69
IL,old,P2L4,ab1 ,28,128
IL,old,P2L4,ab2 ,31,84
IL,old,P2L4,ab3 ,31,79
IL,old,P2L4,ad1 ,4,90
IL,old,P2L4,ad2 ,4,79
IL,old,P2L4,ad3 ,9,95
IL,old,P3L4,ab1 ,28,69
IL,old,P3L4,ab2 ,33,80
IL,old,P3L4,ab3 ,28,76
IL,old,P3L4,ad1 ,7,68
IL,old,P3L4,ad2 ,13,84
IL,old,P3L4,ad3 ,12,68
IL,old,P4L4,ab1 ,35,97
IL,old,P4L4,ab2 ,32,89
IL,old,P4L4,ab3 ,28,85
IL,old,P4L4,ad1 ,10,84
IL,old,P4L4,ad2 ,11,89
IL,old,P4L4,ad3 ,15,94
IL,3921_,P7L4,ab1 ,57,127
IL,3921_,P7L4,ab2 ,50,149
IL,3921_,P7L4,ab3 ,45,129
IL,3921_,P7L4,ad1 ,18,168
IL,3921_,P7L4,ad2 ,14,160
IL,3921_,P7L4,ad3 ,13,162
IL,3921_,P8L4,ab1 ,41,147
IL,3921_,P8L4,ab2 ,39,136
IL,3921_,P8L4,ab3 ,37,142
IL,3921_,P8L4,ad1 ,11,153
IL,3921_,P8L4,ad2 ,9,155
IL,3921_,P8L4,ad3 ,12,127
IL,3921_,P9L4,ab1 ,42,149
IL,3921_,P9L4,ab2 ,57,173
IL,3921_,P9L4,ab3 ,55,161
IL,3921_,P9L4,ad1 ,13,138
IL,3921_,P9L4,ad2 ,9,139
IL,3921_,P9L4,ad3 ,15,170
IL,3921_,P10L4,ab1 ,54,159
IL,3921_,P10L4,ab2 ,43,148
IL,3921_,P10L4,ab3 ,32,157
IL,3921_,P10L4,ad1 ,5,160
IL,3921_,P10L4,ad2 ,4,179
IL,3921_,P10L4,ad3 ,6,137
IL,3921_,P11L4,ab1 ,26,112
IL,3921_,P11L4,ab2 ,31,105
IL,3921_,P11L4,ab3 ,35,99
IL,3921_,P11L4,ad1 ,4,96
IL,3921_,P11L4,ad2 ,5,92
IL,3921_,P11L4,ad3 ,6,113
IL,3921_,P12L4,ab1 ,27,113
IL,3921_,P12L4,ab2 ,34,109
IL,3921_,P12L4,ab3 ,35,134
IL,3921_,P12L4,ad1 ,10,111
IL,3921_,P12L4,ad2 ,8,132
IL,3921_,P12L4,ad3 ,8,137
